month,Exact.Site,Site.Code,GWRPM25.ugm-3
10/1/2022,Lopez Ridge Vernal Pools,LRVP,8.399999619
11/1/2022,Lopez Ridge Vernal Pools,LRVP,6.099999905
12/1/2022,Lopez Ridge Vernal Pools,LRVP,6.699999809
1/1/2023,Lopez Ridge Vernal Pools,LRVP,6.400000095
2/1/2023,Lopez Ridge Vernal Pools,LRVP,6.099999905
3/1/2023,Lopez Ridge Vernal Pools,LRVP,6.300000191
4/1/2023,Lopez Ridge Vernal Pools,LRVP,9.600000381
5/1/2023,Lopez Ridge Vernal Pools,LRVP,7
6/1/2023,Lopez Ridge Vernal Pools,LRVP,10.5
7/1/2023,Lopez Ridge Vernal Pools,LRVP,9.800000191
8/1/2023,Lopez Ridge Vernal Pools,LRVP,10.5
9/1/2023,Lopez Ridge Vernal Pools,LRVP,11.69999981
10/1/2023,Lopez Ridge Vernal Pools,LRVP,8.300000191
11/1/2023,Lopez Ridge Vernal Pools,LRVP,6.599999905
12/1/2023,Lopez Ridge Vernal Pools,LRVP,8.699999809
10/1/2022,Wheatley Ranch,WR,5.900000095
11/1/2022,Wheatley Ranch,WR,3.900000095
12/1/2022,Wheatley Ranch,WR,5.199999809
1/1/2023,Wheatley Ranch,WR,6.099999905
2/1/2023,Wheatley Ranch,WR,5.400000095
3/1/2023,Wheatley Ranch,WR,5.5
4/1/2023,Wheatley Ranch,WR,7.400000095
5/1/2023,Wheatley Ranch,WR,9
6/1/2023,Wheatley Ranch,WR,8.800000191
7/1/2023,Wheatley Ranch,WR,11.5
8/1/2023,Wheatley Ranch,WR,8.800000191
9/1/2023,Wheatley Ranch,WR,9.899999619
10/1/2023,Wheatley Ranch,WR,5.5
11/1/2023,Wheatley Ranch,WR,5.5
12/1/2023,Wheatley Ranch,WR,6.5
10/1/2022,Anza Borrego UC Reserve,ABUCR,10.39999962
11/1/2022,Anza Borrego UC Reserve,ABUCR,9.300000191
12/1/2022,Anza Borrego UC Reserve,ABUCR,12.10000038
1/1/2023,Anza Borrego UC Reserve,ABUCR,9.800000191
2/1/2023,Anza Borrego UC Reserve,ABUCR,8.5
3/1/2023,Anza Borrego UC Reserve,ABUCR,10
4/1/2023,Anza Borrego UC Reserve,ABUCR,13
5/1/2023,Anza Borrego UC Reserve,ABUCR,12.19999981
6/1/2023,Anza Borrego UC Reserve,ABUCR,14.89999962
7/1/2023,Anza Borrego UC Reserve,ABUCR,15
8/1/2023,Anza Borrego UC Reserve,ABUCR,11
9/1/2023,Anza Borrego UC Reserve,ABUCR,12.39999962
10/1/2023,Anza Borrego UC Reserve,ABUCR,10.80000019
11/1/2023,Anza Borrego UC Reserve,ABUCR,10.80000019
12/1/2023,Anza Borrego UC Reserve,ABUCR,14.30000019
10/1/2022,Tierra Del Sol,TDS,4.800000191
11/1/2022,Tierra Del Sol,TDS,3.599999905
12/1/2022,Tierra Del Sol,TDS,5.900000095
1/1/2023,Tierra Del Sol,TDS,5.400000095
2/1/2023,Tierra Del Sol,TDS,6.599999905
3/1/2023,Tierra Del Sol,TDS,6.099999905
4/1/2023,Tierra Del Sol,TDS,7.099999905
5/1/2023,Tierra Del Sol,TDS,8.300000191
6/1/2023,Tierra Del Sol,TDS,8.399999619
7/1/2023,Tierra Del Sol,TDS,10.10000038
8/1/2023,Tierra Del Sol,TDS,5.800000191
9/1/2023,Tierra Del Sol,TDS,9
10/1/2023,Tierra Del Sol,TDS,4.300000191
11/1/2023,Tierra Del Sol,TDS,3.5
12/1/2023,Tierra Del Sol,TDS,6.400000095
10/1/2022,Picacho State Park,PSP,6.900000095
11/1/2022,Picacho State Park,PSP,8.899999619
12/1/2022,Picacho State Park,PSP,5.5
1/1/2023,Picacho State Park,PSP,6
2/1/2023,Picacho State Park,PSP,6.400000095
3/1/2023,Picacho State Park,PSP,4.199999809
4/1/2023,Picacho State Park,PSP,6.800000191
5/1/2023,Picacho State Park,PSP,8.199999809
6/1/2023,Picacho State Park,PSP,8.699999809
7/1/2023,Picacho State Park,PSP,10.89999962
8/1/2023,Picacho State Park,PSP,7.300000191
9/1/2023,Picacho State Park,PSP,7.599999905
10/1/2023,Picacho State Park,PSP,8.899999619
11/1/2023,Picacho State Park,PSP,9.699999809
12/1/2023,Picacho State Park,PSP,7.599999905
